                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.4108,                 1.3221,                 1.5033,                0.92932,                 0.6865,                0.83064,                0.59766,                 1.0786,                 1.0225,                 1.2679,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.3842,                 1.2654,                 1.4875,                0.90069,                0.69208,                0.82765,                0.60384,                 1.0641,                0.97263,                 1.2671,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.4389,                 1.3381,                 1.6029,                0.89149,                0.70281,                0.83382,                0.59839,                  1.111,                0.95794,                  1.282,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.3385,                 1.2381,                  1.419,                0.92051,                 0.6988,                0.82979,                0.59937,                 1.0937,                0.95264,                 1.2685,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.2534,                 1.1925,                 1.3491,                0.92399,                0.68348,                 0.8322,                0.60799,                   1.08,                0.93001,                 1.2619,               0.000218,               0.000218,               0.000218
                     92,                 1.2241,                 1.1726,                  1.389,                0.88536,                0.74699,                0.84729,                0.61721,                 1.0794,                0.93097,                 1.2693,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.2181,                 1.2044,                 1.3696,                0.89838,                0.72691,                0.85162,                0.62385,                 1.0671,                0.92237,                 1.2603,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.2493,                 1.1417,                 1.4196,                0.87591,                0.74297,                0.84674,                0.62064,                 1.0552,                0.89741,                 1.2449,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.2098,                 1.1148,                  1.338,                0.82172,                0.77747,                0.84632,                0.62567,                 1.0387,                 0.9035,                 1.2327,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.1913,                 1.1069,                 1.3597,                0.91554,                  0.751,                0.85474,                0.63198,                 1.0309,                0.88754,                 1.2258,               0.000119,               0.000119,               0.000119
                     97,                 1.1748,                 1.1107,                 1.3421,                0.89315,                0.77214,                0.85903,                 0.6302,                 1.0358,                0.87511,                 1.2315,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.1826,                 1.1402,                 1.3615,                0.87438,                0.78271,                0.85763,                0.63147,                 1.0345,                0.86557,                 1.2311,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.1225,                  1.057,                  1.338,                 0.8662,                0.78715,                0.85894,                0.63746,                 1.0154,                0.86498,                 1.2226,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                  1.196,                  1.084,                 1.3499,                0.88369,                0.79334,                0.86115,                0.64855,                0.99908,                0.85879,                 1.2156,               3.98e-05,               3.98e-05,               3.98e-05
